date,key,value
1987-07-24,aaii_bears,14.0
1987-07-24,aaii_bulls,36.0
1987-07-24,aaii_neutral,50.0
1987-07-24,aaii_spread,22.0
1987-07-31,aaii_bears,26.0
1987-07-31,aaii_bulls,26.0
1987-07-31,aaii_neutral,48.0
1987-07-31,aaii_spread,0.0
1987-08-07,aaii_bears,29.0
1987-08-07,aaii_bulls,56.0
1987-08-07,aaii_neutral,15.0
1987-08-07,aaii_spread,27.0
1987-08-14,aaii_bears,20.0
1987-08-14,aaii_bulls,45.0
1987-08-14,aaii_neutral,35.0
1987-08-14,aaii_spread,25.0
1987-08-21,aaii_bears,6.0
1987-08-21,aaii_bulls,66.0
1987-08-21,aaii_neutral,28.0
1987-08-21,aaii_spread,60.0
1987-08-28,aaii_bears,30.0
1987-08-28,aaii_bulls,52.0
1987-08-28,aaii_neutral,18.0
1987-08-28,aaii_spread,22.0
1987-09-04,aaii_bears,41.0
1987-09-04,aaii_bulls,42.0
1987-09-04,aaii_neutral,17.0
1987-09-04,aaii_spread,1.0
1987-09-11,aaii_bears,27.0
1987-09-11,aaii_bulls,50.0
1987-09-11,aaii_neutral,23.0
1987-09-11,aaii_spread,23.0
1987-09-18,aaii_bears,11.0
1987-09-18,aaii_bulls,60.0
1987-09-18,aaii_neutral,29.0
1987-09-18,aaii_spread,49.0
1987-09-25,aaii_bears,30.0
1987-09-25,aaii_bulls,53.0
1987-09-25,aaii_neutral,17.0
1987-09-25,aaii_spread,23.0
1987-10-02,aaii_bears,30.0
1987-10-02,aaii_bulls,44.0
1987-10-02,aaii_neutral,26.0
1987-10-02,aaii_spread,14.0
1987-10-09,aaii_bears,15.0
1987-10-09,aaii_bulls,46.0
1987-10-09,aaii_neutral,39.0
1987-10-09,aaii_spread,31.0
1987-10-16,aaii_bears,33.0
1987-10-16,aaii_bulls,37.0
1987-10-16,aaii_neutral,30.0
1987-10-16,aaii_spread,4.0
1987-10-23,aaii_bears,31.0
1987-10-23,aaii_bulls,39.0
1987-10-23,aaii_neutral,30.0
1987-10-23,aaii_spread,8.0
1987-10-30,aaii_bears,33.0
1987-10-30,aaii_bulls,44.0
1987-10-30,aaii_neutral,23.0
1987-10-30,aaii_spread,11.0
1987-11-06,aaii_bears,22.0
1987-11-06,aaii_bulls,47.0
1987-11-06,aaii_neutral,31.0
1987-11-06,aaii_spread,25.0
1987-11-13,aaii_bears,28.0
1987-11-13,aaii_bulls,31.0
1987-11-13,aaii_neutral,41.0
1987-11-13,aaii_spread,3.0
1987-11-20,aaii_bears,19.0
1987-11-20,aaii_bulls,39.0
1987-11-20,aaii_neutral,42.0
1987-11-20,aaii_spread,20.0
1987-11-27,aaii_bears,27.0
1987-11-27,aaii_bulls,27.0
1987-11-27,aaii_neutral,46.0
1987-11-27,aaii_spread,0.0
1987-12-04,aaii_bears,42.0
1987-12-04,aaii_bulls,25.0
1987-12-04,aaii_neutral,33.0
1987-12-04,aaii_spread,-17.0
1987-12-11,aaii_bears,32.0
1987-12-11,aaii_bulls,23.0
1987-12-11,aaii_neutral,45.0
1987-12-11,aaii_spread,-9.0
1987-12-18,aaii_bears,27.0
1987-12-18,aaii_bulls,33.0
1987-12-18,aaii_neutral,40.0
1987-12-18,aaii_spread,6.0
1987-12-24,aaii_bears,20.0
1987-12-24,aaii_bulls,28.0
1987-12-24,aaii_neutral,52.0
1987-12-24,aaii_spread,8.0
1987-12-31,aaii_bears,26.0
1987-12-31,aaii_bulls,25.0
1987-12-31,aaii_neutral,49.0
1987-12-31,aaii_spread,-1.0
1988-01-08,aaii_bears,20.0
1988-01-08,aaii_bulls,34.0
1988-01-08,aaii_neutral,46.0
1988-01-08,aaii_spread,14.0
1988-01-15,aaii_bears,26.0
1988-01-15,aaii_bulls,34.0
1988-01-15,aaii_neutral,40.0
1988-01-15,aaii_spread,8.0
1988-01-22,aaii_bears,31.0
1988-01-22,aaii_bulls,21.0
1988-01-22,aaii_neutral,48.0
1988-01-22,aaii_spread,-10.0
1988-01-29,aaii_bears,29.0
1988-01-29,aaii_bulls,26.0
1988-01-29,aaii_neutral,45.0
1988-01-29,aaii_spread,-3.0
1988-02-05,aaii_bears,15.0
1988-02-05,aaii_bulls,32.0
1988-02-05,aaii_neutral,53.0
1988-02-05,aaii_spread,17.0
1988-02-12,aaii_bears,22.0
1988-02-12,aaii_bulls,32.0
1988-02-12,aaii_neutral,46.0
1988-02-12,aaii_spread,10.0
1988-02-19,aaii_bears,24.0
1988-02-19,aaii_bulls,27.0
1988-02-19,aaii_neutral,49.0
1988-02-19,aaii_spread,3.0
1988-02-26,aaii_bears,19.0
1988-02-26,aaii_bulls,30.0
1988-02-26,aaii_neutral,51.0
1988-02-26,aaii_spread,11.0
1988-03-04,aaii_bears,22.0
1988-03-04,aaii_bulls,38.0
1988-03-04,aaii_neutral,40.0
1988-03-04,aaii_spread,16.0
1988-03-11,aaii_bears,17.0
1988-03-11,aaii_bulls,43.0
1988-03-11,aaii_neutral,40.0
1988-03-11,aaii_spread,26.0
1988-03-18,aaii_bears,10.0
1988-03-18,aaii_bulls,41.0
1988-03-18,aaii_neutral,49.0
1988-03-18,aaii_spread,31.0
1988-03-25,aaii_bears,17.0
1988-03-25,aaii_bulls,45.0
1988-03-25,aaii_neutral,38.0
1988-03-25,aaii_spread,28.0
1988-04-01,aaii_bears,20.0
1988-04-01,aaii_bulls,35.0
1988-04-01,aaii_neutral,45.0
1988-04-01,aaii_spread,15.0
1988-04-08,aaii_bears,19.0
1988-04-08,aaii_bulls,33.0
1988-04-08,aaii_neutral,48.0
1988-04-08,aaii_spread,14.0
1988-04-15,aaii_bears,24.0
1988-04-15,aaii_bulls,23.0
1988-04-15,aaii_neutral,53.0
1988-04-15,aaii_spread,-1.0
1988-04-22,aaii_bears,20.0
1988-04-22,aaii_bulls,23.0
1988-04-22,aaii_neutral,57.0
1988-04-22,aaii_spread,3.0
1988-04-29,aaii_bears,30.0
1988-04-29,aaii_bulls,22.0
1988-04-29,aaii_neutral,48.0
1988-04-29,aaii_spread,-8.0
1988-05-06,aaii_bears,20.0
1988-05-06,aaii_bulls,38.0
1988-05-06,aaii_neutral,42.0
1988-05-06,aaii_spread,18.0
1988-05-13,aaii_bears,25.0
1988-05-13,aaii_bulls,19.0
1988-05-13,aaii_neutral,56.0
1988-05-13,aaii_spread,-6.0
1988-05-20,aaii_bears,25.0
1988-05-20,aaii_bulls,23.0
1988-05-20,aaii_neutral,52.0
1988-05-20,aaii_spread,-2.0
1988-05-27,aaii_bears,20.0
1988-05-27,aaii_bulls,28.0
1988-05-27,aaii_neutral,52.0
1988-05-27,aaii_spread,8.0
1988-06-03,aaii_bears,12.0
1988-06-03,aaii_bulls,26.0
1988-06-03,aaii_neutral,62.0
1988-06-03,aaii_spread,14.0
1988-06-10,aaii_bears,23.0
1988-06-10,aaii_bulls,28.0
1988-06-10,aaii_neutral,49.0
1988-06-10,aaii_spread,5.0
1988-06-17,aaii_bears,21.0
1988-06-17,aaii_bulls,29.0
1988-06-17,aaii_neutral,50.0
1988-06-17,aaii_spread,8.0
1988-06-24,aaii_bears,23.0
1988-06-24,aaii_bulls,33.0
1988-06-24,aaii_neutral,44.0
1988-06-24,aaii_spread,10.0
1988-07-01,aaii_bears,17.0
1988-07-01,aaii_bulls,45.0
1988-07-01,aaii_neutral,38.0
1988-07-01,aaii_spread,28.0
1988-07-08,aaii_bears,15.0
1988-07-08,aaii_bulls,35.0
1988-07-08,aaii_neutral,50.0
1988-07-08,aaii_spread,20.0
1988-07-15,aaii_bears,37.0
1988-07-15,aaii_bulls,26.0
1988-07-15,aaii_neutral,37.0
1988-07-15,aaii_spread,-11.0
1988-07-22,aaii_bears,26.0
1988-07-22,aaii_bulls,16.0
1988-07-22,aaii_neutral,58.0
1988-07-22,aaii_spread,-10.0
1988-07-29,aaii_bears,23.0
1988-07-29,aaii_bulls,23.0
1988-07-29,aaii_neutral,54.0
1988-07-29,aaii_spread,0.0
1988-08-05,aaii_bears,30.0
1988-08-05,aaii_bulls,21.0
1988-08-05,aaii_neutral,49.0
1988-08-05,aaii_spread,-9.0
1988-08-12,aaii_bears,26.0
1988-08-12,aaii_bulls,26.0
1988-08-12,aaii_neutral,48.0
1988-08-12,aaii_spread,0.0
1988-08-19,aaii_bears,28.0
1988-08-19,aaii_bulls,19.0
1988-08-19,aaii_neutral,53.0
1988-08-19,aaii_spread,-9.0
1988-08-26,aaii_bears,32.0
1988-08-26,aaii_bulls,28.0
1988-08-26,aaii_neutral,40.0
1988-08-26,aaii_spread,-4.0
1988-09-02,aaii_bears,39.0
1988-09-02,aaii_bulls,18.0
1988-09-02,aaii_neutral,43.0
1988-09-02,aaii_spread,-21.0
1988-09-09,aaii_bears,31.0
1988-09-09,aaii_bulls,17.0
1988-09-09,aaii_neutral,52.0
1988-09-09,aaii_spread,-14.0
1988-09-16,aaii_bears,30.0
1988-09-16,aaii_bulls,24.0
1988-09-16,aaii_neutral,46.0
1988-09-16,aaii_spread,-6.0
1988-09-23,aaii_bears,27.0
1988-09-23,aaii_bulls,20.0
1988-09-23,aaii_neutral,53.0
1988-09-23,aaii_spread,-7.0
1988-09-30,aaii_bears,30.0
1988-09-30,aaii_bulls,26.0
1988-09-30,aaii_neutral,44.0
1988-09-30,aaii_spread,-4.0
1988-10-07,aaii_bears,38.0
1988-10-07,aaii_bulls,13.0
1988-10-07,aaii_neutral,49.0
1988-10-07,aaii_spread,-25.0
1988-10-14,aaii_bears,32.0
1988-10-14,aaii_bulls,22.0
1988-10-14,aaii_neutral,46.0
1988-10-14,aaii_spread,-10.0
1988-10-21,aaii_bears,23.0
1988-10-21,aaii_bulls,26.0
1988-10-21,aaii_neutral,51.0
1988-10-21,aaii_spread,3.0
1988-10-28,aaii_bears,22.0
1988-10-28,aaii_bulls,40.0
1988-10-28,aaii_neutral,38.0
1988-10-28,aaii_spread,18.0
1988-11-04,aaii_bears,19.0
1988-11-04,aaii_bulls,35.0
1988-11-04,aaii_neutral,46.0
1988-11-04,aaii_spread,16.0
1988-11-11,aaii_bears,21.0
1988-11-11,aaii_bulls,23.0
1988-11-11,aaii_neutral,56.0
1988-11-11,aaii_spread,2.0
1988-11-18,aaii_bears,36.0
1988-11-18,aaii_bulls,30.0
1988-11-18,aaii_neutral,34.0
1988-11-18,aaii_spread,-6.0
1988-11-25,aaii_bears,39.0
1988-11-25,aaii_bulls,17.0
1988-11-25,aaii_neutral,44.0
1988-11-25,aaii_spread,-22.0
1988-12-02,aaii_bears,34.0
1988-12-02,aaii_bulls,19.0
1988-12-02,aaii_neutral,47.0
1988-12-02,aaii_spread,-15.0
1988-12-09,aaii_bears,39.0
1988-12-09,aaii_bulls,17.0
1988-12-09,aaii_neutral,44.0
1988-12-09,aaii_spread,-22.0
1988-12-16,aaii_bears,22.0
1988-12-16,aaii_bulls,24.0
1988-12-16,aaii_neutral,54.0
1988-12-16,aaii_spread,2.0
1988-12-23,aaii_bears,32.0
1988-12-23,aaii_bulls,22.0
1988-12-23,aaii_neutral,46.0
1988-12-23,aaii_spread,-10.0
1988-12-30,aaii_bears,22.0
1988-12-30,aaii_bulls,24.0
1988-12-30,aaii_neutral,54.0
1988-12-30,aaii_spread,2.0
1989-01-06,aaii_bears,23.0
1989-01-06,aaii_bulls,26.0
1989-01-06,aaii_neutral,51.0
1989-01-06,aaii_spread,3.0
1989-01-13,aaii_bears,20.0
1989-01-13,aaii_bulls,36.0
1989-01-13,aaii_neutral,44.0
1989-01-13,aaii_spread,16.0
1989-01-20,aaii_bears,17.0
1989-01-20,aaii_bulls,36.0
1989-01-20,aaii_neutral,47.0
1989-01-20,aaii_spread,19.0
1989-01-27,aaii_bears,19.0
1989-01-27,aaii_bulls,32.0
1989-01-27,aaii_neutral,49.0
1989-01-27,aaii_spread,13.0
1989-02-03,aaii_bears,23.0
1989-02-03,aaii_bulls,33.0
1989-02-03,aaii_neutral,44.0
1989-02-03,aaii_spread,10.0
1989-02-10,aaii_bears,26.0
1989-02-10,aaii_bulls,43.0
1989-02-10,aaii_neutral,31.0
1989-02-10,aaii_spread,17.0
1989-02-17,aaii_bears,17.0
1989-02-17,aaii_bulls,42.0
1989-02-17,aaii_neutral,41.0
1989-02-17,aaii_spread,25.0
1989-02-24,aaii_bears,26.0
1989-02-24,aaii_bulls,29.0
1989-02-24,aaii_neutral,45.0
1989-02-24,aaii_spread,3.0
1989-03-03,aaii_bears,36.0
1989-03-03,aaii_bulls,29.0
1989-03-03,aaii_neutral,35.0
1989-03-03,aaii_spread,-7.0
1989-03-10,aaii_bears,35.0
1989-03-10,aaii_bulls,13.0
1989-03-10,aaii_neutral,52.0
1989-03-10,aaii_spread,-22.0
1989-03-17,aaii_bears,29.0
1989-03-17,aaii_bulls,28.0
1989-03-17,aaii_neutral,43.0
1989-03-17,aaii_spread,-1.0
1989-03-23,aaii_bears,30.0
1989-03-23,aaii_bulls,29.0
1989-03-23,aaii_neutral,41.0
1989-03-23,aaii_spread,-1.0
1989-03-31,aaii_bears,40.0
1989-03-31,aaii_bulls,18.0
1989-03-31,aaii_neutral,42.0
1989-03-31,aaii_spread,-22.0
1989-04-07,aaii_bears,32.0
1989-04-07,aaii_bulls,23.0
1989-04-07,aaii_neutral,45.0
1989-04-07,aaii_spread,-9.0
1989-04-14,aaii_bears,33.0
1989-04-14,aaii_bulls,25.0
1989-04-14,aaii_neutral,42.0
1989-04-14,aaii_spread,-8.0
1989-04-21,aaii_bears,28.0
1989-04-21,aaii_bulls,21.0
1989-04-21,aaii_neutral,51.0
1989-04-21,aaii_spread,-7.0
1989-04-28,aaii_bears,29.0
1989-04-28,aaii_bulls,31.0
1989-04-28,aaii_neutral,40.0
1989-04-28,aaii_spread,2.0
1989-05-05,aaii_bears,30.0
1989-05-05,aaii_bulls,30.0
1989-05-05,aaii_neutral,40.0
1989-05-05,aaii_spread,0.0
1989-05-12,aaii_bears,19.0
1989-05-12,aaii_bulls,38.0
1989-05-12,aaii_neutral,43.0
1989-05-12,aaii_spread,19.0
1989-05-19,aaii_bears,19.0
1989-05-19,aaii_bulls,43.0
1989-05-19,aaii_neutral,38.0
1989-05-19,aaii_spread,24.0
1989-05-26,aaii_bears,21.0
1989-05-26,aaii_bulls,48.0
1989-05-26,aaii_neutral,31.0
1989-05-26,aaii_spread,27.0
1989-06-02,aaii_bears,31.0
1989-06-02,aaii_bulls,42.0
1989-06-02,aaii_neutral,27.0
1989-06-02,aaii_spread,11.0
1989-06-09,aaii_bears,23.0
1989-06-09,aaii_bulls,43.0
