# NAAIM Exposure Index - historical seed for the Market Indicators POC.
#
# Source: https://index.naaim.org/embeddable/table - NAAIM's own PUBLIC embeddable
# widget. No key, no login, no access control. It carries a rolling ~2.5-year window
# on roughly a three-month delay, which is what NAAIM chose to leave public after
# moving the live index to a subscription on 2026-08-01. Rows before that window are
# carried forward from api/data/breadth_sentiment_history.csv, which production
# already ships and which was built from the same public table.
#
# observed_on is the SURVEY WEDNESDAY. Publication is the following Thursday; the
# knowledge date is derived by naaim_store, not stored here.
#
# LICENSING: NAAIM publish this data 'for use in tracking only' and require express
# permission for commercial use. This seed is a private proof of concept. A
# commercial UCT product needs the NAAIM Program Partner tier, which grants API
# access and permits redistribution with the attribution line
# 'Source: NAAIM Exposure Index(R) (National Association of Active Investment
# Managers)'. Swapping to it changes naaim_store's INPUT and nothing above it.
observed_on,value
2023-11-29,81.38
2023-12-06,76.09
2023-12-13,77.97
2023-12-20,97.32
2023-12-27,102.71
2024-01-03,70.95
2024-01-10,80.18
2024-01-17,53.54
2024-01-24,84.13
2024-01-31,87.36
2024-02-07,93.77
2024-02-14,95.58
2024-02-21,74.7
2024-02-28,88.99
2024-03-06,93.99
2024-03-13,104.75
2024-03-20,93.22
2024-03-27,103.88
2024-04-03,84.24
2024-04-10,81.92
2024-04-17,62.98
2024-04-24,59.48
2024-05-01,61.97
2024-05-08,91.55
2024-05-15,89.25
2024-05-22,94.45
2024-05-29,92.21
2024-06-05,68.65
2024-06-12,86.3
2024-06-19,85.26
2024-06-26,85.44
2024-07-03,103.66
2024-07-10,93.84
2024-07-17,87.94
2024-07-24,76.7
2024-07-31,83.93
2024-08-07,75.33
2024-08-14,56.57
2024-08-21,74.68
2024-08-28,81.34
2024-09-04,70.65
2024-09-11,71.93
2024-09-18,87.46
2024-09-25,86.64
2024-10-02,86.93
2024-10-09,90.26
2024-10-16,81.68
2024-10-23,79.13
2024-10-30,82.53
2024-11-06,88.31
2024-11-13,91.6
2024-11-20,91.33
2024-11-27,98.93
2024-12-04,85.49
2024-12-11,99.24
2024-12-18,82.5
2024-12-25,80.39
2025-01-01,64.1
2025-01-08,65.38
2025-01-15,70.21
2025-01-22,86.08
2025-01-29,68.28
2025-02-05,84.91
2025-02-12,75.62
2025-02-19,91.48
2025-02-26,87.87
2025-03-05,74.96
2025-03-12,68.8
2025-03-19,64.64
2025-03-26,57.55
2025-04-02,49.37
2025-04-09,56.96
2025-04-16,35.16
2025-04-23,40.67
2025-04-30,59.92
2025-05-07,81.06
2025-05-14,70.56
2025-05-21,80.87
2025-05-28,88.41
2025-06-04,81.62
2025-06-11,82.66
2025-06-18,94.09
2025-06-25,81.41
2025-07-02,99.3
2025-07-09,86.28
2025-07-16,83.69
2025-07-23,81.07
2025-07-30,76.85
2025-08-06,96.26
2025-08-13,85.66
2025-08-20,98.15
2025-08-27,92.94
2025-09-03,81.58
2025-09-10,86.11
2025-09-17,84.76
2025-09-24,86.24
2025-10-01,80.66
2025-10-08,84.57
2025-10-15,84.87
2025-10-22,90.35
2025-10-29,100.83
2025-11-05,90.06
2025-11-12,87.87
2025-11-19,86.56
2025-11-26,89.92
2025-12-03,98.57
2025-12-10,97.13
2025-12-17,100.7
2025-12-24,95.08
2025-12-31,92.93
2026-01-07,97.72
2026-01-14,96.01
2026-01-21,88.46
2026-01-28,92.58
2026-02-04,84.93
2026-02-11,80.61
2026-02-18,82.87
2026-02-25,74.93
2026-03-04,79.29
2026-03-11,66.99
2026-03-18,60.24
2026-03-25,68.52
2026-04-01,68.36
2026-04-08,69.38
2026-04-15,79.49
2026-04-22,94.15
2026-04-29,93.79
2026-05-06,96.67
2026-05-13,77.34
2026-05-20,82.02
2026-05-27,98.39
2026-06-03,86.82
2026-06-10,79.27
2026-06-17,92.83
