CreatedDate,CreatedTime,Symbol,Type,Volume,Price,Side,CallPut,Strike,Spot,Premium,ExpirationDate,Color,ImpliedVolatility,Dte,ER,StockEtf,Sector,Uoa,Weekly,MktCap,OI
7/24/2026,9:30:00 AM,PLTR,SWEEP,1201,8.2084,B,CALL,130,124.75,985825,8/28/2026,MAGENTA,0,35,F,STOCK,Information Technology,T,T,286478000000,230
7/24/2026,9:30:03 AM,LLY,ML/,1,258.4,,CALL,940,1193.49,25840,8/7/2026,MAGENTA,0,14,F,STOCK,Health Care,F,T,1037874000000,1
7/24/2026,9:30:04 AM,LRCX,ML/,8,33.1725,,PUT,327.5,313.60,26538,8/7/2026,MAGENTA,0,14,F,STOCK,Information Technology,F,T,512158000000,1
7/24/2026,9:30:09 AM,LLY,ML/,6,227.67,,PUT,1260,1193.49,136602,12/17/2027,MAGENTA,0,511,F,STOCK,Health Care,T,F,1037874000000,1
7/24/2026,9:30:23 AM,PLTR,SWEEP,1400,8.2,B,CALL,130,125.3,1148000,8/28/2026,MAGENTA,0,35,F,STOCK,Information Technology,T,T,286478000000,230
7/24/2026,9:31:58 AM,PLTR,BLOCK,250,12.25,A,PUT,130,123.8,306250,8/14/2026,MAGENTA,0,21,F,STOCK,Information Technology,F,T,286478000000,0
7/24/2026,9:31:58 AM,PLTR,SWEEP,500,10.55,A,PUT,126,123.8,527500,8/21/2026,MAGENTA,0,28,F,STOCK,Information Technology,T,F,286478000000,23
7/24/2026,9:32:09 AM,WDC,ML/,10,36.02,,PUT,537.5,535,36020,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,F,T,252521000000,7
7/24/2026,9:32:59 AM,LRCX,ML/,20,239.04,,CALL,82,317.85,478080,12/18/2026,MAGENTA,0,147,F,STOCK,Information Technology,F,F,512158000000,0
7/24/2026,9:32:59 AM,LRCX,ML/,20,239.67,,CALL,82,317.85,479340,1/15/2027,MAGENTA,0,175,F,STOCK,Information Technology,F,F,512158000000,0
7/24/2026,9:35:16 AM,ASML,BLOCK,3,100,,CALL,1795,1793.215,30000,8/14/2026,MAGENTA,0,21,F,STOCK,Information Technology,T,T,758742000000,3
7/24/2026,9:35:19 AM,CRWV,ML/,85,8.33,,PUT,82,78.465,70805,8/7/2026,MAGENTA,0,14,F,STOCK,Information Technology,T,T,49810000000,42
7/24/2026,9:35:46 AM,LLY,BLOCK,1,601.92,,PUT,1780,1187.677,60192,6/17/2027,MAGENTA,0,328,F,STOCK,Health Care,F,T,1037874000000,1
7/24/2026,9:38:59 AM,CRWV,ML/,200,6.7789,,PUT,81,77,135577,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,49810000000,126
7/24/2026,9:39:35 AM,CRWV,ML/,125,8.6322,,PUT,81,77,107902,8/7/2026,MAGENTA,0,14,F,STOCK,Information Technology,T,T,49810000000,155
7/24/2026,9:39:35 AM,CRWV,ML/,125,6.8522,,PUT,81,77,85652,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,49810000000,126
7/24/2026,9:39:48 AM,CRWV,ML/,33,8.5939,,PUT,81,76.805,28360,8/7/2026,MAGENTA,0,14,F,STOCK,Information Technology,T,T,49810000000,155
7/24/2026,9:39:59 AM,CRWV,ML/,38,8.65,,PUT,81,76.805,32870,8/7/2026,MAGENTA,0,14,F,STOCK,Information Technology,T,T,49810000000,155
7/24/2026,9:39:59 AM,CRWV,ML/,38,6.87,,PUT,81,76.805,26106,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,49810000000,126
7/24/2026,9:40:53 AM,ASML,BLOCK,3,92,,CALL,1795,1782.915,27600,8/14/2026,MAGENTA,0,21,F,STOCK,Information Technology,T,T,758742000000,3
7/24/2026,9:40:56 AM,HOOD,ML/,1295,4.23,,PUT,93,95.785,547785,7/31/2026,MAGENTA,0,7,F,STOCK,Financials,F,T,95192000000,0
7/24/2026,9:40:56 AM,HOOD,ML/,1295,6.1938,,PUT,97,95.785,802097,7/31/2026,MAGENTA,0,7,F,STOCK,Financials,F,T,95192000000,304
7/24/2026,9:41:21 AM,LLY,BLOCK,100,2.82,,CALL,1500,1192.58,28200,8/21/2026,MAGENTA,0,28,F,STOCK,Health Care,T,F,1037874000000,145
7/24/2026,9:41:41 AM,ASML,BLOCK,7,818.6,,PUT,2580,1782.915,573020,10/16/2026,MAGENTA,0,84,F,STOCK,Information Technology,F,F,758742000000,0
7/24/2026,9:41:56 AM,CRWV,ML/,364,7.79,,PUT,82,76.86,283556,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,49810000000,118
7/24/2026,9:41:56 AM,CRWV,ML/,364,9.52,,PUT,82,76.86,346528,8/7/2026,MAGENTA,0,14,F,STOCK,Information Technology,T,T,49810000000,42
7/24/2026,9:42:18 AM,ASML,BLOCK,10,67,,CALL,1765,1776.13,67000,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,F,T,758742000000,4
7/24/2026,9:42:24 AM,ASML,BLOCK,7,839.7,A,PUT,2600,1776.13,587790,10/16/2026,MAGENTA,0,84,F,STOCK,Information Technology,F,F,758742000000,0
7/24/2026,9:42:35 AM,CRWV,ML/,200,9.8437,,PUT,55,76.22,196874,3/19/2027,MAGENTA,0,238,F,STOCK,Information Technology,T,F,49810000000,5
7/24/2026,9:43:09 AM,LLY,BLOCK,50,2.76,,CALL,1500,1191.38,13800,8/21/2026,MAGENTA,0,28,F,STOCK,Health Care,T,F,1037874000000,145
7/24/2026,9:43:17 AM,LLY,BLOCK,60,2.77,,CALL,1500,1191.38,16620,8/21/2026,MAGENTA,0,28,F,STOCK,Health Care,T,F,1037874000000,145
7/24/2026,9:45:40 AM,ASML,BLOCK,1,385.3,,PUT,2040,1785.13,38530,11/20/2026,MAGENTA,0,119,F,STOCK,Information Technology,F,F,758742000000,1
7/24/2026,9:46:13 AM,HOOD,ML/,2000,3.93,,CALL,101,96.37,786000,7/31/2026,MAGENTA,0,7,F,STOCK,Financials,T,T,95192000000,235
7/24/2026,9:46:13 AM,HOOD,ML/,2000,5.5,,CALL,97,96.37,1100000,7/31/2026,MAGENTA,0,7,F,STOCK,Financials,F,T,95192000000,217
7/24/2026,9:46:26 AM,HOOD,BLOCK,100,6,,CALL,96,96.38,60000,7/31/2026,MAGENTA,0,7,F,STOCK,Financials,T,T,95192000000,4
7/24/2026,9:46:48 AM,LLY,ML/,2,235.69,,CALL,1180,1200.905,47138,9/17/2027,MAGENTA,0,420,F,STOCK,Health Care,T,F,1037874000000,7
7/24/2026,9:47:17 AM,ASML,BLOCK,10,66.16,,CALL,1765,1782.585,66160,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,758742000000,4
7/24/2026,9:47:25 AM,LRCX,ML/,17,17.8753,,PUT,310,316.605,30388,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,512158000000,276
7/24/2026,9:47:30 AM,PLTR,BLOCK,16,26.83,,PUT,150,123.11,42928,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,F,T,286478000000,5
7/24/2026,9:47:44 AM,HOOD,ML/,45,6.15,,CALL,96,96.38,27675,7/31/2026,MAGENTA,0,7,F,STOCK,Financials,T,T,95192000000,4
7/24/2026,9:47:44 AM,LRCX,ML/,22,18.14,,PUT,310,316.605,39908,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,512158000000,276
7/24/2026,9:47:56 AM,LLY,BLOCK,183,1.01,,CALL,1310,1200.905,18483,7/31/2026,MAGENTA,0,7,F,STOCK,Health Care,F,T,1037874000000,14
7/24/2026,9:47:57 AM,WDC,BLOCK,7,51.4,,CALL,960,536.852,35980,1/15/2027,MAGENTA,0,175,F,STOCK,Information Technology,T,F,252521000000,21
7/24/2026,9:48:17 AM,WDC,BLOCK,7,51.1,,CALL,960,536.75,35770,1/15/2027,MAGENTA,0,175,F,STOCK,Information Technology,T,F,252521000000,21
7/24/2026,9:48:26 AM,LRCX,ML/,15,18.292,,PUT,310,316.605,27438,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,512158000000,276
7/24/2026,9:48:32 AM,WDC,BLOCK,7,51.2,,CALL,960,536.75,35840,1/15/2027,MAGENTA,0,175,F,STOCK,Information Technology,T,F,252521000000,21
7/24/2026,9:48:39 AM,HOOD,ML/,2000,4.83,,CALL,99,96.905,966000,7/31/2026,MAGENTA,0,7,F,STOCK,Financials,T,T,95192000000,289
7/24/2026,9:48:46 AM,LRCX,ML/,16,18.5181,,PUT,310,315.265,29629,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,512158000000,276
7/24/2026,9:48:52 AM,WDC,BLOCK,5,51,,CALL,960,536.75,25500,1/15/2027,MAGENTA,0,175,F,STOCK,Information Technology,T,F,252521000000,21
7/24/2026,9:49:03 AM,WDC,BLOCK,5,51.3,,CALL,960,536.75,25650,1/15/2027,MAGENTA,0,175,F,STOCK,Information Technology,T,F,252521000000,21
7/24/2026,9:49:04 AM,LRCX,ML/,17,18.4271,,PUT,310,315.265,31326,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,512158000000,276
7/24/2026,9:49:24 AM,LRCX,ML/,15,18.4347,,PUT,310,315.265,27652,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,512158000000,276
7/24/2026,9:49:42 AM,LRCX,ML/,24,17.5542,,PUT,310,315.265,42130,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,512158000000,276
7/24/2026,9:49:47 AM,WDC,BLOCK,5,51.236,,CALL,960,536.75,25618,1/15/2027,MAGENTA,0,175,F,STOCK,Information Technology,T,F,252521000000,21
